语言包命名;简体中文;繁体中文;英文;泰文;日文;韩文
home;首页;首页;home;;;
home_text_product;产品优势;产品优势;home_text_product;;;
home_product_mogos;MOGO S SIM 卡;MOGO S SIM 卡;home_product_mogos;;;
store;商城;商城;store;;;
about_ifree;关于我们;关于我们;about_ifree;;;
contact_us;联系我们;联系我们;contact_us;;;
services;服务与支持;服务与支持;services;;;
know_more;了解更多;了解更多;know_more;;;
user_center_already_account;已有iFREE账号？;已有iFREE账号？;user_center_already_account;;;
user_center_email;电子邮箱;电子邮箱;user_center_email;;;
user_center_password;密码;密码;user_center_password;;;
user_center_forget_password;忘记密码;忘记密码;user_center_forget_password;;;
user_center_accept;阅读并同意《iFREE注册许可与使用协议》;阅读并同意《iFREE注册许可与使用协议》;user_center_accept;;;
user_center_login;登录;登录;user_center_login;;;
user_center_orthers_account_login;您可用第三方登录;您可用第三方登录;user_center_orthers_account_login;;;
user_center_register_ifree_account;注册iFREE账号,可享受更多iFREE优惠哦_;注册iFREE账号,可享受更多iFREE优惠哦_;user_center_register_ifree_account;;;
user_center_username;用户名;用户名;user_center_username;;;
user_center_resigster;注册;注册;user_center_resigster;;;
user_center_resigster_acquiesced;点击注册将默认您使用iFREE账号需遵从使用协议;点击注册将默认您使用iFREE账号需遵从使用协议;user_center_resigster_acquiesced;;;
